"Period","Sex","Age_group","Ethnic_group","Regional_council","Level_of_crowding","Count"
2006,"Total","40–44","Total","Total","2+ bedrooms spare",81075
2006,"Total","40–44","Total","Total","No extra bedrooms required",76941
2006,"Total","40–44","Total","Total","Total",306300
2006,"Total","40–44","Total","Total","Unknown",11565
2006,"Total","45–49","Total","Total","1 bedroom needed",13587
2006,"Total","45–49","Total","Total","1 bedroom spare",98109
2006,"Total","45–49","Total","Total","2+ bedrooms needed",6282
2006,"Total","45–49","Total","Total","2+ bedrooms spare",96654
2006,"Total","45–49","Total","Total","No extra bedrooms required",61491
2006,"Total","45–49","Total","Total","Total",286872
2006,"Total","45–49","Total","Total","Unknown",10746
2006,"Total","5–9","Total","Total","1 bedroom needed",31950
2006,"Total","5–9","Total","Total","1 bedroom spare",92295
2006,"Total","5–9","Total","Total","2+ bedrooms needed",16005
2006,"Total","5–9","Total","Total","2+ bedrooms spare",38040
2006,"Total","5–9","Total","Total","No extra bedrooms required",96555
2006,"Total","5–9","Total","Total","Total",285687
2006,"Total","5–9","Total","Total","Unknown",10842
2006,"Total","50–54","Total","Total","1 bedroom needed",9231
2006,"Total","50–54","Total","Total","1 bedroom spare",72138
2006,"Total","50–54","Total","Total","2+ bedrooms needed",4557
2006,"Total","50–54","Total","Total","2+ bedrooms spare",112518
2006,"Total","50–54","Total","Total","No extra bedrooms required",39396
2006,"Total","50–54","Total","Total","Total",246912
2006,"Total","50–54","Total","Total","Unknown",9072
2006,"Total","55–59","Total","Total","1 bedroom needed",5871
2006,"Total","55–59","Total","Total","1 bedroom spare",55209
2006,"Total","55–59","Total","Total","2+ bedrooms needed",3144
2006,"Total","55–59","Total","Total","2+ bedrooms spare",128244
2006,"Total","55–59","Total","Total","No extra bedrooms required",26304
2006,"Total","55–59","Total","Total","Total",226980
2006,"Total","55–59","Total","Total","Unknown",8208
2006,"Total","60–64","Total","Total","1 bedroom needed",4080
2006,"Total","60–64","Total","Total","1 bedroom spare",39357
2006,"Total","60–64","Total","Total","2+ bedrooms needed",2085
2006,"Total","60–64","Total","Total","2+ bedrooms spare",103938
2006,"Total","60–64","Total","Total","No extra bedrooms required",17475
2006,"Total","60–64","Total","Total","Total",173094
2006,"Total","60–64","Total","Total","Unknown",6159
2006,"Total","65–69","Total","Total","1 bedroom needed",3048
2006,"Total","65–69","Total","Total","1 bedroom spare",33555
2006,"Total","65–69","Total","Total","2+ bedrooms needed",1596
2006,"Total","65–69","Total","Total","2+ bedrooms spare",84291
2006,"Total","65–69","Total","Total","No extra bedrooms required",13806
2006,"Total","65–69","Total","Total","Total",141615
2006,"Total","65–69","Total","Total","Unknown",5319
2006,"Total","70–74","Total","Total","1 bedroom needed",1878
2006,"Total","70–74","Total","Total","1 bedroom spare",29889
2006,"Total","70–74","Total","Total","2+ bedrooms needed",1062
2006,"Total","70–74","Total","Total","2+ bedrooms spare",62769
2006,"Total","70–74","Total","Total","No extra bedrooms required",10554
2006,"Total","70–74","Total","Total","Total",110475
2006,"Total","70–74","Total","Total","Unknown",4317
2006,"Total","75+","Total","Total","1 bedroom needed",2112
2006,"Total","75+","Total","Total","1 bedroom spare",72096
2006,"Total","75+","Total","Total","2+ bedrooms needed",1206
2006,"Total","75+","Total","Total","2+ bedrooms spare",90246
2006,"Total","75+","Total","Total","No extra bedrooms required",21447
2006,"Total","75+","Total","Total","Total",197475
2006,"Total","75+","Total","Total","Unknown",10365
2006,"Total","Total","Asian","Total","1 bedroom needed",47049
2006,"Total","Total","Asian","Total","1 bedroom spare",93795
2006,"Total","Total","Asian","Total","2+ bedrooms needed",18045
2006,"Total","Total","Asian","Total","2+ bedrooms spare",60081
2006,"Total","Total","Asian","Total","No extra bedrooms required",112872
2006,"Total","Total","Asian","Total","Total",339420
2006,"Total","Total","Asian","Total","Unknown",7575
2006,"Total","Total","European","Total","1 bedroom needed",90762
2006,"Total","Total","European","Total","1 bedroom spare",882240
2006,"Total","Total","European","Total","2+ bedrooms needed",22935
2006,"Total","Total","European","Total","2+ bedrooms spare",864468
2006,"Total","Total","European","Total","No extra bedrooms required",565137
2006,"Total","Total","European","Total","Total",2453457
2006,"Total","Total","European","Total","Unknown",27918
2006,"Total","Total","Māori","Total","1 bedroom needed",74604
2006,"Total","Total","Māori","Total","1 bedroom spare",144519
2006,"Total","Total","Māori","Total","2+ bedrooms needed",42405
2006,"Total","Total","Māori","Total","2+ bedrooms spare",79860
2006,"Total","Total","Māori","Total","No extra bedrooms required",172278
2006,"Total","Total","Māori","Total","Total",528312
2006,"Total","Total","Māori","Total","Unknown",14643
2006,"Total","Total","MELAA","Total","1 bedroom needed",4941
2006,"Total","Total","MELAA","Total","1 bedroom spare",8409
2006,"Total","Total","MELAA","Total","2+ bedrooms needed",2436
2006,"Total","Total","MELAA","Total","2+ bedrooms spare",3930
2006,"Total","Total","MELAA","Total","No extra bedrooms required",12219
2006,"Total","Total","MELAA","Total","Total",32973
2006,"Total","Total","MELAA","Total","Unknown",1038
2006,"Total","Total","Not available","Total","1 bedroom needed",17727
2006,"Total","Total","Not available","Total","1 bedroom spare",46788
2006,"Total","Total","Not available","Total","2+ bedrooms needed",12609
2006,"Total","Total","Not available","Total","2+ bedrooms spare",37701
2006,"Total","Total","Not available","Total","No extra bedrooms required",43347
2006,"Total","Total","Not available","Total","Total",257688
2006,"Total","Total","Not available","Total","Unknown",99519
2006,"Total","Total","Other","Total","1 bedroom needed",10596
2006,"Total","Total","Other","Total","1 bedroom spare",146556
2006,"Total","Total","Other","Total","2+ bedrooms needed",2142
2006,"Total","Total","Other","Total","2+ bedrooms spare",164862
2006,"Total","Total","Other","Total","No extra bedrooms required",82401
2006,"Total","Total","Other","Total","Total",409935
2006,"Total","Total","Other","Total","Unknown",3378
2006,"Total","Total","Pacific","Total","1 bedroom needed",54741
2006,"Total","Total","Pacific","Total","1 bedroom spare",44394
2006,"Total","Total","Pacific","Total","2+ bedrooms needed",48819
2006,"Total","Total","Pacific","Total","2+ bedrooms spare",19869
2006,"Total","Total","Pacific","Total","No extra bedrooms required",75243
2006,"Total","Total","Pacific","Total","Total",253194
2006,"Total","Total","Pacific","Total","Unknown",10134
